"region_bld","scenario_name"
"C-WEU-AUT","S161"
"C-WEU-BEL","S116"
"C-EEU-BGR","S115"
"C-WEU-HRV","S116"
"C-WEU-CYP","S110"
"C-EEU-CZE","S115"
"C-WEU-DNK","S116"
"C-EEU-EST","S116"
"C-WEU-FIN","S115"
"C-WEU-FRA","S110"
"C-WEU-DEU","S161"
"C-WEU-GRC","S161"
"C-EEU-HUN","S161"
"C-WEU-IRL","S161"
"C-WEU-ITA","S113"
"C-EEU-LVA","S113"
"C-EEU-LTU","S115"
"C-WEU-LUX","S110"
"C-WEU-MLT","S109"
"C-WEU-NLD","S161"
"C-EEU-POL","S116"
"C-WEU-PRT","S110"
"C-EEU-ROU","S116"
"C-EEU-SVK","S116"
"C-EEU-SVN","S116"
"C-WEU-ESP","S113"
"C-WEU-SWE","S116"
